sample,Max Distance,angle-20_35,angle-35_50,angle-50_65,angle-65_80,diaphyseal bending,Area 20%,Perimeter 20%,Ix 20%,Iy 20%,Ixy 20%,Imin 20%,Imax 20%,Theta 20%,Area 35%,Perimeter 35%,Ix 35%,Iy 35%,Ixy 35%,Imin 35%,Imax 35%,Theta 35%,Area 50%,Perimeter 50%,Ix 50%,Iy 50%,Ixy 50%,Imin 50%,Imax 50%,Theta 50%,Area 65%,Perimeter 65%,Ix 65%,Iy 65%,Ixy 65%,Imin 65%,Imax 65%,Theta 65%,Area 80%,Perimeter 80%,Ix 80%,Iy 80%,Ixy 80%,Imin 80%,Imax 80%,Theta 80%
AKMI_T7-6_Humerus_L,322.476667124567,2.01688821917869,3.99368795433113,1.25959729486794,3.01051020028995,10.2806836686677,432.716919235804,77.5149234906986,14787.2380640102,15644.323922601,420.877557755903,14615.1255505835,15816.4364360276,-67.7585183208507,371.577524635275,70.4952139139948,12240.9366521226,10273.6308313254,-958.930050423558,9883.55891857305,12631.0085648749,22.1354237909683,315.019360068964,65.709488218693,8029.69180320809,8512.77127534186,-2146.15921933981,6111.52303143034,10430.9400471196,48.2106696540604,274.493896198731,60.4169944873286,7171.66514354601,5122.61466462178,81.0201856926297,5119.41609060842,7174.86371755936,-2.2607905481153,299.960961888764,66.8546726064344,6639.55733196031,9606.05721771569,2625.03952037041,5107.70149285403,11137.913056822,-59.7340729988069
AKP_T57-7_Humerus_L,311.86582763001,2.07765841084094,3.11294297183271,1.25831336362968,2.18878795257787,8.63770269888119,359.899766654224,69.7657554359536,8399.95641077578,13074.0763662752,-402.350317705444,8365.57481898237,13108.4579580686,85.1158328626213,274.996341345694,59.8556633002007,5708.74399554214,6438.68968574241,-84.703488475383,5699.04383838512,6448.38984289943,83.4670057329708,257.481032028728,57.8949277557211,5362.2812372404,5379.51708756289,-743.465828209879,4627.38338829198,6114.4149365113,45.3320587227537,245.891084224681,56.9301096284237,5256.96914482643,4584.61834674085,496.095043600675,4321.52403087496,5520.06346069232,-27.9383697467996,257.191358275049,62.4252430682985,4274.04305509155,7590.43531115792,1177.16030043408,3898.69037084057,7965.78799540889,-72.3144499129233
AKP_T59-44_Humerus_L,293.842878897608,2.25275497875549,3.56277599741989,1.49009447579227,3.02018295096433,10.325808402932,390.191115885633,72.0194701384396,12385.9790742408,12149.7618497012,612.500503400043,11644.0864360793,12891.6544878626,-39.5428021669046,312.88543833072,64.5464609517503,7892.9410188735,8017.75124147513,-883.918134591874,7069.22781607803,8841.4644442706,47.0192065075937,301.146465874148,63.9034346616358,6891.17627126962,8391.67240180294,-2032.53082252298,5474.84784263114,9808.00083044142,55.1300596207277,250.994625409838,57.6829642229012,5613.31942986993,4654.95356473263,-183.27197922926,4621.10150703678,5647.17148756579,10.4651182614139,299.616945902909,70.3899494450442,6248.42522688373,10747.5566849467,2653.02545615581,5019.61632970777,11976.3655821226,-65.1477168763149
AKP_T82-17_Humerus_L,281.845670011245,1.85894251058119,0.625637076340945,3.1212643211353,2.55597825495675,8.16182216301419,253.537995350994,58.7492025783141,4662.92428565698,5859.65741090357,193.921925527083,4632.28508005097,5890.29661650959,-81.0216212539078,223.831795326375,54.3352494949727,3595.33314812546,4482.53287540933,-174.54789132035,3562.22785615491,4515.63816737988,79.2606651487532,188.214647666689,50.1024085708057,3056.06379766394,2779.08566680652,-556.488346306786,2344.11287577172,3491.03658869875,38.012557317876,187.669234561425,49.848372533422,3292.09746335397,2473.3288802397,101.048511279489,2461.04232883334,3304.38401476032,-6.93259867461167,203.658253282445,55.6255598389139,3217.89650196711,4246.60924532619,1182.17851268846,2443.02499892875,5021.48074836455,-56.7567354247399
AKP_T98-7_Humerus_L,291.447125260863,1.05342944730129,2.03400045874387,1.91911706295077,2.92063491094015,7.92718187993608,291.122140357395,63.2099469412679,6967.95160946237,6875.48247594199,-794.202119954482,6126.17028574587,7717.26379965848,43.3341400074075,302.149394416768,66.1566772133664,7802.85191554763,7719.58684536118,-884.697636559606,6875.54270349354,8646.89605741527,43.6528673820828,281.378253247816,61.292771152322,6216.06552629046,6737.92388866015,-1041.9030119078,5402.91560246658,7551.07381248402,52.0298545009533,234.985189172358,55.9103099768642,5549.03966055879,3626.99091767505,586.003246063366,3462.41871533836,5713.61186289548,-15.6867801881892,266.037656206362,64.1172616887889,5146.76662150807,7555.54305976864,1487.23976632221,4437.40639716153,8264.90328411518,-64.5005258671052
AKP_T102-5_Humerus_L,297.722352814462,1.80725275198828,3.76997935289003,2.55329107091018,1.11451503546491,9.2450382112534,402.640338519804,72.5480243159115,11849.7146904348,14191.2337809745,-691.885964380973,11660.5536128197,14380.3948585896,74.7090534511058,343.318968213174,66.7835256578701,9949.18588806676,9021.67835439076,-201.392583153083,8979.83689893576,9991.02734352176,11.7368383087666,326.393625474667,66.0115462794889,8154.1953950555,9177.97493357822,-1092.3941967162,7459.7037085187,9872.46662011501,57.5537618961773,290.585485932044,61.7050688707446,6871.32381446652,6756.02838138942,744.014234702274,6067.4318747264,7559.92032112954,-42.7847300112619,300.12885838542,68.407843279773,6439.70143505273,9601.62184955185,1982.36037838357,5485.07732173797,10556.2459628666,-64.2864258892561
AUC_BT5-4_Humerus_L,291.846363397877,2.76977475106662,3.85618162140484,2.22594062818144,3.46085563359811,12.312752634251,310.014954200551,63.6807342774731,7749.32180788674,7672.11716745214,161.613166885132,7544.5600617051,7876.87891363378,-38.2831220048066,323.08739514116,67.152608899708,9403.74927697045,7849.86147542497,473.145107139167,7717.13064457234,9536.48010782309,-15.6703381252282,319.099951377169,65.2038868655109,8611.99099209848,8053.32991381262,-1001.98713515847,7292.46635129905,9372.85455461204,37.2113876583283,260.19546882902,59.810183542341,5880.97928080975,5455.36152816237,1148.11109800133,4500.50319539094,6835.83761358118,-39.749540159855,258.211241893922,66.4319679232438,4316.34804246604,9001.9571020789,2296.16961006942,3378.73675364705,9939.56839089788,-67.7879832904506
AUC_ET16-11_Humerus_L,276.332458591577,1.67295648862172,1.36829413542671,4.05141232633102,3.86976607116774,10.9624290215472,280.752538143836,62.8292266229592,6618.47893276329,6328.94471724512,-309.076243474453,6132.41189859166,6815.01175141675,32.4511237694498,271.234720584211,62.7815654946564,5418.05303049569,7143.8858025511,-1139.03047507018,4851.97847448992,7709.96035855686,63.57357523167,238.391637852054,55.8214947073592,4615.39448979732,4701.1191187341,-926.879457120899,3730.38682089826,5586.12678763316,46.3238406375546,210.910367121594,52.7739763838431,4242.69078707309,3044.62692913853,112.635573811234,3034.12951147019,4253.18820474143,-5.32447548174325,228.623254726234,59.385721091391,3348.86279655896,6142.33035164434,1260.79980010543,2863.97988059722,6627.21326760609,-68.9640758323718
AUC_GT2-9_Humerus_L,324.901235029759,0.779423766042527,0.856942808285779,1.68731776449648,2.36224774176472,5.68593208058951,317.747419419474,65.1988212059247,7540.03381399816,9004.38326919598,-1171.98524030971,6890.31518998185,9654.10189321229,60.9971355612094,237.514482195442,55.1971739530763,4571.07016379955,4452.12282617128,-94.4895526384967,4399.94797130491,4623.24501866592,28.9064221445216,246.805002316083,56.6165544789134,5157.40960313966,4650.84494219418,-260.695878377372,4540.65199161929,5267.60255371455,22.9131843971186,239.252687968617,56.0297795178714,5179.9348419639,4201.83147757666,850.598772474868,3709.71558000005,5672.05073954051,-30.051627663061,260.115794184132,64.6686298121445,4614.33207355848,8438.73370898843,2092.95733302799,3691.57568433973,9361.49009820718,-66.2079707962007
AUC_GT3-136_Humerus_L,342.047782080809,1.5344426436256,2.52363254437965,1.56598592611789,2.5998761017744,8.22393721589754,518.336555338733,82.9273764800235,19632.3717603479,23957.8976342425,-902.944987078799,19451.4510217273,24138.8183728631,78.6698281686484,399.082796845871,71.4697458429113,12789.0055008232,12679.2842152781,-196.642598979974,12529.9929492694,12938.2967668319,37.205805993019,341.583154693148,66.2890906117009,9163.28747150365,9581.83563936248,-616.136790458646,8721.85410445284,10023.2690064133,54.3801622367899,344.275340622428,67.6008322948614,10227.4817148551,9276.95705821893,1493.84672012117,8184.59305863387,11319.8457144402,-36.1758527947819,382.238938835251,76.3551855828814,9526.42421066506,17398.0329082894,3639.23133675864,8101.7658374191,18822.6912815354,-68.6210315335214
